07-17 10:08:38.514 ImageNet-train: 1281167 images
07-17 10:08:39.923 Model params = 5.941M
07-17 10:09:08.580 [epoch 0], [iter 50 / 570 : 49], [loss 2.543305], [lr 0.002496], [time 0.0332]
07-17 10:09:33.533 [epoch 0], [iter 100 / 570 : 99], [loss 1.856159], [lr 0.002492], [time 0.0312]
07-17 10:09:58.648 [epoch 0], [iter 150 / 570 : 149], [loss 1.741594], [lr 0.002488], [time 0.0314]
07-17 10:10:23.978 [epoch 0], [iter 200 / 570 : 199], [loss 1.687886], [lr 0.002484], [time 0.0317]
07-17 10:10:49.390 [epoch 0], [iter 250 / 570 : 249], [loss 1.589536], [lr 0.002480], [time 0.0318]
07-17 10:11:15.135 [epoch 0], [iter 300 / 570 : 299], [loss 1.560589], [lr 0.002476], [time 0.0322]
07-17 10:11:40.676 [epoch 0], [iter 350 / 570 : 349], [loss 1.505823], [lr 0.002472], [time 0.0319]
07-17 10:12:06.231 [epoch 0], [iter 400 / 570 : 399], [loss 1.496210], [lr 0.002468], [time 0.0319]
07-17 10:12:31.836 [epoch 0], [iter 450 / 570 : 449], [loss 1.429168], [lr 0.002465], [time 0.0320]
07-17 10:12:57.414 [epoch 0], [iter 500 / 570 : 499], [loss 1.450582], [lr 0.002461], [time 0.0320]
07-17 10:13:22.974 [epoch 0], [iter 550 / 570 : 549], [loss 1.443491], [lr 0.002457], [time 0.0319]
07-17 10:13:33.599 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_17_10/last_None_epoch_0_mean-iu_0.00000.pth
07-17 10:14:01.093 [epoch 1], [iter 50 / 570 : 619], [loss 1.413953], [lr 0.002451], [time 0.0322]
07-17 10:14:26.637 [epoch 1], [iter 100 / 570 : 669], [loss 1.425115], [lr 0.002447], [time 0.0319]
07-17 10:14:52.136 [epoch 1], [iter 150 / 570 : 719], [loss 1.380193], [lr 0.002443], [time 0.0319]
07-17 10:15:17.624 [epoch 1], [iter 200 / 570 : 769], [loss 1.388164], [lr 0.002439], [time 0.0319]
07-17 10:15:43.072 [epoch 1], [iter 250 / 570 : 819], [loss 1.406544], [lr 0.002435], [time 0.0318]
07-17 10:16:08.536 [epoch 1], [iter 300 / 570 : 869], [loss 1.348535], [lr 0.002431], [time 0.0318]
07-17 10:16:34.015 [epoch 1], [iter 350 / 570 : 919], [loss 1.368360], [lr 0.002427], [time 0.0318]
07-17 10:16:59.486 [epoch 1], [iter 400 / 570 : 969], [loss 1.350875], [lr 0.002423], [time 0.0318]
