07-15 12:39:35.827 ImageNet-train: 1281167 images
07-15 12:39:36.868 Model params = 5.941M
07-15 12:40:05.981 [epoch 0], [iter 50 / 570 : 49], [loss 2.705763], [lr 0.002496], [time 0.0333]
07-15 12:40:31.494 [epoch 0], [iter 100 / 570 : 99], [loss 1.974494], [lr 0.002492], [time 0.0319]
07-15 12:40:57.087 [epoch 0], [iter 150 / 570 : 149], [loss 1.821370], [lr 0.002488], [time 0.0320]
07-15 12:41:22.723 [epoch 0], [iter 200 / 570 : 199], [loss 1.769680], [lr 0.002484], [time 0.0320]
07-15 12:41:48.417 [epoch 0], [iter 250 / 570 : 249], [loss 1.641396], [lr 0.002480], [time 0.0321]
07-15 12:42:14.030 [epoch 0], [iter 300 / 570 : 299], [loss 1.639163], [lr 0.002476], [time 0.0320]
07-15 12:42:39.701 [epoch 0], [iter 350 / 570 : 349], [loss 1.610455], [lr 0.002472], [time 0.0321]
07-15 12:43:05.274 [epoch 0], [iter 400 / 570 : 399], [loss 1.544049], [lr 0.002468], [time 0.0320]
07-15 12:43:30.837 [epoch 0], [iter 450 / 570 : 449], [loss 1.462989], [lr 0.002465], [time 0.0319]
07-15 12:43:56.405 [epoch 0], [iter 500 / 570 : 499], [loss 1.484761], [lr 0.002461], [time 0.0320]
07-15 12:44:21.886 [epoch 0], [iter 550 / 570 : 549], [loss 1.476399], [lr 0.002457], [time 0.0318]
07-15 12:44:32.562 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_15_12/last_None_epoch_0_mean-iu_0.00000.pth
07-15 12:45:01.016 [epoch 1], [iter 50 / 570 : 619], [loss 1.444961], [lr 0.002451], [time 0.0322]
07-15 12:45:26.588 [epoch 1], [iter 100 / 570 : 669], [loss 1.473539], [lr 0.002447], [time 0.0320]
07-15 12:45:52.077 [epoch 1], [iter 150 / 570 : 719], [loss 1.457482], [lr 0.002443], [time 0.0319]
07-15 12:46:17.559 [epoch 1], [iter 200 / 570 : 769], [loss 1.391515], [lr 0.002439], [time 0.0318]
07-15 12:46:43.105 [epoch 1], [iter 250 / 570 : 819], [loss 1.392285], [lr 0.002435], [time 0.0319]
07-15 12:47:08.663 [epoch 1], [iter 300 / 570 : 869], [loss 1.356962], [lr 0.002431], [time 0.0319]
07-15 12:47:34.217 [epoch 1], [iter 350 / 570 : 919], [loss 1.391280], [lr 0.002427], [time 0.0319]
07-15 12:47:59.725 [epoch 1], [iter 400 / 570 : 969], [loss 1.425663], [lr 0.002423], [time 0.0319]
07-15 12:48:25.345 [epoch 1], [iter 450 / 570 : 1019], [loss 1.365871], [lr 0.002419], [time 0.0320]
07-15 12:48:50.877 [epoch 1], [iter 500 / 570 : 1069], [loss 1.387689], [lr 0.002415], [time 0.0319]
07-15 12:49:16.387 [epoch 1], [iter 550 / 570 : 1119], [loss 1.392121], [lr 0.002411], [time 0.0319]
07-15 12:49:27.146 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_15_12/last_None_epoch_1_mean-iu_0.00000.pth
07-15 12:49:55.439 [epoch 2], [iter 50 / 570 : 1189], [loss 1.382199], [lr 0.002406], [time 0.0324]
07-15 12:50:20.972 [epoch 2], [iter 100 / 570 : 1239], [loss 1.365125], [lr 0.002402], [time 0.0319]
07-15 12:50:46.501 [epoch 2], [iter 150 / 570 : 1289], [loss 1.358623], [lr 0.002398], [time 0.0319]
07-15 12:51:12.118 [epoch 2], [iter 200 / 570 : 1339], [loss 1.346233], [lr 0.002394], [time 0.0320]
07-15 12:51:37.655 [epoch 2], [iter 250 / 570 : 1389], [loss 1.311604], [lr 0.002390], [time 0.0319]
07-15 12:52:03.210 [epoch 2], [iter 300 / 570 : 1439], [loss 1.321449], [lr 0.002386], [time 0.0319]
07-15 12:52:28.772 [epoch 2], [iter 350 / 570 : 1489], [loss 1.353885], [lr 0.002382], [time 0.0319]
07-15 12:52:54.340 [epoch 2], [iter 400 / 570 : 1539], [loss 1.322270], [lr 0.002378], [time 0.0320]
07-15 12:53:19.856 [epoch 2], [iter 450 / 570 : 1589], [loss 1.310418], [lr 0.002374], [time 0.0319]
07-15 12:53:45.378 [epoch 2], [iter 500 / 570 : 1639], [loss 1.314817], [lr 0.002370], [time 0.0319]
07-15 12:54:10.947 [epoch 2], [iter 550 / 570 : 1689], [loss 1.277905], [lr 0.002366], [time 0.0320]
07-15 12:54:21.709 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_15_12/last_None_epoch_2_mean-iu_0.00000.pth
