07-16 13:17:09.975 ImageNet-train: 1281167 images
07-16 13:17:11.039 Model params = 5.941M
07-16 13:17:39.696 [epoch 0], [iter 50 / 570 : 49], [loss 2.701781], [lr 0.002496], [time 0.0328]
07-16 13:18:05.110 [epoch 0], [iter 100 / 570 : 99], [loss 1.943025], [lr 0.002492], [time 0.0318]
07-16 13:18:30.600 [epoch 0], [iter 150 / 570 : 149], [loss 1.805286], [lr 0.002488], [time 0.0319]
07-16 13:18:56.143 [epoch 0], [iter 200 / 570 : 199], [loss 1.716740], [lr 0.002484], [time 0.0319]
07-16 13:19:21.705 [epoch 0], [iter 250 / 570 : 249], [loss 1.613204], [lr 0.002480], [time 0.0319]
07-16 13:19:47.223 [epoch 0], [iter 300 / 570 : 299], [loss 1.592519], [lr 0.002476], [time 0.0319]
07-16 13:20:12.747 [epoch 0], [iter 350 / 570 : 349], [loss 1.561493], [lr 0.002472], [time 0.0319]
07-16 13:20:38.225 [epoch 0], [iter 400 / 570 : 399], [loss 1.531525], [lr 0.002468], [time 0.0318]
07-16 13:21:03.695 [epoch 0], [iter 450 / 570 : 449], [loss 1.443369], [lr 0.002465], [time 0.0318]
07-16 13:21:29.150 [epoch 0], [iter 500 / 570 : 499], [loss 1.460421], [lr 0.002461], [time 0.0318]
07-16 13:21:54.592 [epoch 0], [iter 550 / 570 : 549], [loss 1.445651], [lr 0.002457], [time 0.0318]
07-16 13:22:05.245 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_13/last_None_epoch_0_mean-iu_0.00000.pth
07-16 13:22:33.255 [epoch 1], [iter 50 / 570 : 619], [loss 1.415118], [lr 0.002451], [time 0.0325]
07-16 13:22:58.875 [epoch 1], [iter 100 / 570 : 669], [loss 1.440885], [lr 0.002447], [time 0.0320]
07-16 13:23:24.254 [epoch 1], [iter 150 / 570 : 719], [loss 1.392424], [lr 0.002443], [time 0.0317]
07-16 13:23:49.750 [epoch 1], [iter 200 / 570 : 769], [loss 1.373113], [lr 0.002439], [time 0.0319]
07-16 13:24:15.166 [epoch 1], [iter 250 / 570 : 819], [loss 1.407016], [lr 0.002435], [time 0.0318]
07-16 13:24:40.635 [epoch 1], [iter 300 / 570 : 869], [loss 1.334155], [lr 0.002431], [time 0.0318]
07-16 13:25:06.086 [epoch 1], [iter 350 / 570 : 919], [loss 1.348564], [lr 0.002427], [time 0.0318]
07-16 13:25:31.536 [epoch 1], [iter 400 / 570 : 969], [loss 1.330906], [lr 0.002423], [time 0.0318]
07-16 13:25:57.039 [epoch 1], [iter 450 / 570 : 1019], [loss 1.331956], [lr 0.002419], [time 0.0319]
07-16 13:26:22.522 [epoch 1], [iter 500 / 570 : 1069], [loss 1.300695], [lr 0.002415], [time 0.0318]
07-16 13:26:47.989 [epoch 1], [iter 550 / 570 : 1119], [loss 1.379942], [lr 0.002411], [time 0.0318]
07-16 13:26:58.668 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_13/last_None_epoch_1_mean-iu_0.00000.pth
07-16 13:27:26.694 [epoch 2], [iter 50 / 570 : 1189], [loss 1.325684], [lr 0.002406], [time 0.0325]
07-16 13:27:52.146 [epoch 2], [iter 100 / 570 : 1239], [loss 1.331312], [lr 0.002402], [time 0.0318]
07-16 13:28:17.595 [epoch 2], [iter 150 / 570 : 1289], [loss 1.326772], [lr 0.002398], [time 0.0318]
07-16 13:28:43.238 [epoch 2], [iter 200 / 570 : 1339], [loss 1.292287], [lr 0.002394], [time 0.0320]
07-16 13:29:08.758 [epoch 2], [iter 250 / 570 : 1389], [loss 1.262587], [lr 0.002390], [time 0.0319]
07-16 13:29:34.166 [epoch 2], [iter 300 / 570 : 1439], [loss 1.278056], [lr 0.002386], [time 0.0318]
07-16 13:29:59.605 [epoch 2], [iter 350 / 570 : 1489], [loss 1.304085], [lr 0.002382], [time 0.0318]
07-16 13:30:25.047 [epoch 2], [iter 400 / 570 : 1539], [loss 1.285592], [lr 0.002378], [time 0.0318]
07-16 13:30:50.646 [epoch 2], [iter 450 / 570 : 1589], [loss 1.287088], [lr 0.002374], [time 0.0320]
07-16 13:31:16.057 [epoch 2], [iter 500 / 570 : 1639], [loss 1.274052], [lr 0.002370], [time 0.0318]
07-16 13:31:41.582 [epoch 2], [iter 550 / 570 : 1689], [loss 1.261585], [lr 0.002366], [time 0.0319]
07-16 13:31:52.696 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_13/last_None_epoch_2_mean-iu_0.00000.pth
07-16 13:32:21.004 [epoch 3], [iter 50 / 570 : 1759], [loss 1.271239], [lr 0.002361], [time 0.0321]
07-16 13:32:46.470 [epoch 3], [iter 100 / 570 : 1809], [loss 1.252532], [lr 0.002357], [time 0.0318]
07-16 13:33:11.921 [epoch 3], [iter 150 / 570 : 1859], [loss 1.250905], [lr 0.002353], [time 0.0318]
07-16 13:33:37.383 [epoch 3], [iter 200 / 570 : 1909], [loss 1.244054], [lr 0.002349], [time 0.0318]
07-16 13:34:02.837 [epoch 3], [iter 250 / 570 : 1959], [loss 1.264363], [lr 0.002345], [time 0.0318]
07-16 13:34:28.295 [epoch 3], [iter 300 / 570 : 2009], [loss 1.278144], [lr 0.002341], [time 0.0318]
07-16 13:34:53.808 [epoch 3], [iter 350 / 570 : 2059], [loss 1.255720], [lr 0.002337], [time 0.0319]
07-16 13:35:19.283 [epoch 3], [iter 400 / 570 : 2109], [loss 1.258018], [lr 0.002333], [time 0.0318]
07-16 13:35:44.696 [epoch 3], [iter 450 / 570 : 2159], [loss 1.201901], [lr 0.002329], [time 0.0318]
07-16 13:36:10.120 [epoch 3], [iter 500 / 570 : 2209], [loss 1.264285], [lr 0.002325], [time 0.0318]
07-16 13:36:35.554 [epoch 3], [iter 550 / 570 : 2259], [loss 1.245760], [lr 0.002321], [time 0.0318]
07-16 13:36:46.595 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_13/last_None_epoch_3_mean-iu_0.00000.pth
07-16 13:37:14.986 [epoch 4], [iter 50 / 570 : 2329], [loss 1.247683], [lr 0.002315], [time 0.0321]
07-16 13:37:40.485 [epoch 4], [iter 100 / 570 : 2379], [loss 1.271973], [lr 0.002311], [time 0.0319]
07-16 13:38:05.939 [epoch 4], [iter 150 / 570 : 2429], [loss 1.230802], [lr 0.002307], [time 0.0318]
