07-17 01:34:58.307 ImageNet-train: 1281167 images
07-17 01:34:59.477 Model params = 5.941M
07-17 01:35:28.091 [epoch 0], [iter 50 / 570 : 49], [loss 2.701726], [lr 0.002496], [time 0.0330]
07-17 01:35:53.513 [epoch 0], [iter 100 / 570 : 99], [loss 1.943363], [lr 0.002492], [time 0.0318]
07-17 01:36:19.024 [epoch 0], [iter 150 / 570 : 149], [loss 1.807714], [lr 0.002488], [time 0.0319]
07-17 01:36:44.586 [epoch 0], [iter 200 / 570 : 199], [loss 1.716830], [lr 0.002484], [time 0.0319]
07-17 01:37:10.125 [epoch 0], [iter 250 / 570 : 249], [loss 1.614129], [lr 0.002480], [time 0.0319]
07-17 01:37:35.644 [epoch 0], [iter 300 / 570 : 299], [loss 1.594031], [lr 0.002476], [time 0.0319]
07-17 01:38:01.215 [epoch 0], [iter 350 / 570 : 349], [loss 1.562266], [lr 0.002472], [time 0.0320]
07-17 01:38:26.702 [epoch 0], [iter 400 / 570 : 399], [loss 1.532974], [lr 0.002468], [time 0.0319]
07-17 01:38:52.181 [epoch 0], [iter 450 / 570 : 449], [loss 1.443169], [lr 0.002465], [time 0.0318]
07-17 01:39:17.645 [epoch 0], [iter 500 / 570 : 499], [loss 1.459575], [lr 0.002461], [time 0.0318]
07-17 01:39:43.106 [epoch 0], [iter 550 / 570 : 549], [loss 1.447159], [lr 0.002457], [time 0.0318]
07-17 01:39:53.760 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_17_01/last_None_epoch_0_mean-iu_0.00000.pth
07-17 01:40:21.404 [epoch 1], [iter 50 / 570 : 619], [loss 1.413142], [lr 0.002451], [time 0.0322]
07-17 01:40:46.877 [epoch 1], [iter 100 / 570 : 669], [loss 1.440138], [lr 0.002447], [time 0.0318]
07-17 01:41:12.296 [epoch 1], [iter 150 / 570 : 719], [loss 1.391829], [lr 0.002443], [time 0.0318]
07-17 01:41:37.708 [epoch 1], [iter 200 / 570 : 769], [loss 1.372536], [lr 0.002439], [time 0.0318]
07-17 01:42:03.159 [epoch 1], [iter 250 / 570 : 819], [loss 1.407635], [lr 0.002435], [time 0.0318]
07-17 01:42:28.634 [epoch 1], [iter 300 / 570 : 869], [loss 1.334595], [lr 0.002431], [time 0.0318]
07-17 01:42:54.078 [epoch 1], [iter 350 / 570 : 919], [loss 1.350200], [lr 0.002427], [time 0.0318]
07-17 01:43:19.486 [epoch 1], [iter 400 / 570 : 969], [loss 1.330296], [lr 0.002423], [time 0.0318]
07-17 01:43:44.955 [epoch 1], [iter 450 / 570 : 1019], [loss 1.332097], [lr 0.002419], [time 0.0318]
07-17 01:44:10.373 [epoch 1], [iter 500 / 570 : 1069], [loss 1.300357], [lr 0.002415], [time 0.0318]
07-17 01:44:35.803 [epoch 1], [iter 550 / 570 : 1119], [loss 1.380953], [lr 0.002411], [time 0.0318]
07-17 01:44:46.471 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_17_01/last_None_epoch_1_mean-iu_0.00000.pth
07-17 01:45:14.175 [epoch 2], [iter 50 / 570 : 1189], [loss 1.324826], [lr 0.002406], [time 0.0320]
07-17 01:45:39.561 [epoch 2], [iter 100 / 570 : 1239], [loss 1.331544], [lr 0.002402], [time 0.0317]
07-17 01:46:04.972 [epoch 2], [iter 150 / 570 : 1289], [loss 1.327120], [lr 0.002398], [time 0.0318]
07-17 01:46:30.436 [epoch 2], [iter 200 / 570 : 1339], [loss 1.291452], [lr 0.002394], [time 0.0318]
07-17 01:46:55.863 [epoch 2], [iter 250 / 570 : 1389], [loss 1.262762], [lr 0.002390], [time 0.0318]
07-17 01:47:21.343 [epoch 2], [iter 300 / 570 : 1439], [loss 1.276370], [lr 0.002386], [time 0.0318]
07-17 01:47:46.752 [epoch 2], [iter 350 / 570 : 1489], [loss 1.302956], [lr 0.002382], [time 0.0318]
07-17 01:48:12.193 [epoch 2], [iter 400 / 570 : 1539], [loss 1.283922], [lr 0.002378], [time 0.0318]
07-17 01:48:37.633 [epoch 2], [iter 450 / 570 : 1589], [loss 1.286362], [lr 0.002374], [time 0.0318]
07-17 01:49:03.050 [epoch 2], [iter 500 / 570 : 1639], [loss 1.272509], [lr 0.002370], [time 0.0318]
07-17 01:49:28.526 [epoch 2], [iter 550 / 570 : 1689], [loss 1.259660], [lr 0.002366], [time 0.0318]
07-17 01:49:39.179 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_17_01/last_None_epoch_2_mean-iu_0.00000.pth
07-17 01:50:06.761 [epoch 3], [iter 50 / 570 : 1759], [loss 1.270717], [lr 0.002361], [time 0.0322]
07-17 01:50:32.199 [epoch 3], [iter 100 / 570 : 1809], [loss 1.250672], [lr 0.002357], [time 0.0318]
07-17 01:50:57.673 [epoch 3], [iter 150 / 570 : 1859], [loss 1.250388], [lr 0.002353], [time 0.0318]
07-17 01:51:23.122 [epoch 3], [iter 200 / 570 : 1909], [loss 1.244293], [lr 0.002349], [time 0.0318]
07-17 01:51:48.549 [epoch 3], [iter 250 / 570 : 1959], [loss 1.263194], [lr 0.002345], [time 0.0318]
07-17 01:52:14.052 [epoch 3], [iter 300 / 570 : 2009], [loss 1.277257], [lr 0.002341], [time 0.0319]
07-17 01:52:39.499 [epoch 3], [iter 350 / 570 : 2059], [loss 1.255076], [lr 0.002337], [time 0.0318]
07-17 01:53:04.922 [epoch 3], [iter 400 / 570 : 2109], [loss 1.258290], [lr 0.002333], [time 0.0318]
07-17 01:53:30.362 [epoch 3], [iter 450 / 570 : 2159], [loss 1.201518], [lr 0.002329], [time 0.0318]
07-17 01:53:55.791 [epoch 3], [iter 500 / 570 : 2209], [loss 1.263876], [lr 0.002325], [time 0.0318]
07-17 01:54:21.197 [epoch 3], [iter 550 / 570 : 2259], [loss 1.245971], [lr 0.002321], [time 0.0318]
07-17 01:54:31.880 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_17_01/last_None_epoch_3_mean-iu_0.00000.pth
07-17 01:54:59.469 [epoch 4], [iter 50 / 570 : 2329], [loss 1.247287], [lr 0.002315], [time 0.0322]
07-17 01:55:24.922 [epoch 4], [iter 100 / 570 : 2379], [loss 1.272174], [lr 0.002311], [time 0.0318]
07-17 01:55:50.366 [epoch 4], [iter 150 / 570 : 2429], [loss 1.231078], [lr 0.002307], [time 0.0318]
07-17 01:56:15.856 [epoch 4], [iter 200 / 570 : 2479], [loss 1.216711], [lr 0.002303], [time 0.0319]
07-17 01:56:41.275 [epoch 4], [iter 250 / 570 : 2529], [loss 1.218269], [lr 0.002299], [time 0.0318]
07-17 01:57:06.703 [epoch 4], [iter 300 / 570 : 2579], [loss 1.245515], [lr 0.002295], [time 0.0318]
07-17 01:57:32.131 [epoch 4], [iter 350 / 570 : 2629], [loss 1.243763], [lr 0.002291], [time 0.0318]
